City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Plátanos,37.67,21.62,64.4,68,40,9.17,GR,1604609846
Morant Bay,17.88,-76.41,80.6,69,90,13.87,JM,1604609847
Omboué,-1.57,9.26,76.5,89,100,5.48,GA,1604609848
Kununurra,-15.77,128.73,77.0,88,2,3.36,AU,1604609771
Minas,-34.38,-55.24,71.6,60,40,17.22,UY,1604609851
Yangi Marg`ilon,40.43,71.72,44.6,39,0,6.93,UZ,1604609852
Sakaraha,-22.9,44.53,72.52,60,81,0.96,MG,1604609853
Erenhot,43.65,111.98,35.08,65,0,19.17,CN,1604609110
Lázaro Cárdenas,17.96,-102.2,84.81,61,24,6.69,MX,1604609855
Mildura,-34.2,142.15,48.0,70,83,5.82,AU,1604609401
Codrington,-38.27,141.97,51.4,81,100,8.14,AU,1604609857
Batticaloa,7.71,81.69,80.33,76,63,4.88,LK,1604609858
Bac Lieu,9.29,105.72,77.56,88,100,5.68,VN,1604609860
Vágur,61.47,-6.81,49.28,88,100,35.97,FO,1604609861
Mykhaylivka,47.27,35.22,44.6,100,100,4.47,UA,1604609862
Talnakh,69.49,88.4,-2.2,84,0,6.71,RU,1604609487
Barstow,34.9,-117.02,82.4,13,1,10.58,US,1604609865
Ankang,32.68,109.02,55.31,75,79,0.6,CN,1604609866
Marawi,8.0,124.29,73.99,95,89,5.99,PH,1604609867
Sisimiut,66.94,-53.67,19.51,91,100,6.98,GL,1604609821
Olavarría,-36.89,-60.32,69.8,56,90,4.7,AR,1604609870
Progreso,21.28,-89.67,82.4,78,90,10.29,MX,1604609871
Noumea,-22.28,166.46,78.01,78,0,1.12,NC,1604609872
Srīvardhan,18.03,73.02,75.42,62,0,5.5,IN,1604609873
Lang Son,21.83,106.73,66.07,87,53,0.45,VN,1604609874
Henties Bay,-22.12,14.28,61.0,92,2,5.01,NA,1604609875
Biscarrosse,44.39,-1.17,46.4,93,0,4.7,FR,1604609876
Talakan,50.32,130.37,20.37,94,92,3.22,RU,1604609877
Burgersdorp,-31.0,26.33,59.79,72,34,8.7,ZA,1604609879
Yakeshi,49.28,120.73,19.94,96,94,3.76,CN,1604609880
Chkalovskoye,44.84,133.04,36.48,88,25,6.2,RU,1604609881
Lafiagi,8.87,5.42,82.78,43,24,0.81,NG,1604609882
Ben Gardane,33.14,11.22,69.93,72,25,7.09,TN,1604609883
Dolisie,-4.2,12.67,73.71,92,100,2.3,CG,1604609624
Bubaque,11.28,-15.83,84.2,72,4,8.7,GW,1604609885
Puerto Escondido,15.85,-97.07,86.0,66,75,6.93,MX,1604609886
Half Moon Bay,37.46,-122.43,77.0,68,1,12.75,US,1604609148
Pangnirtung,66.15,-65.71,10.4,51,90,9.17,CA,1604609580
Namatanai,-3.67,152.43,82.08,78,81,6.96,PG,1604609890
Bud,39.45,-86.18,68.0,40,1,9.17,US,1604609813
Beringovskiy,63.05,179.32,38.16,93,100,13.94,RU,1604609892
Kieta,-6.22,155.63,82.85,70,92,0.22,PG,1604609893
Yarmouth,41.71,-70.23,64.0,82,1,13.87,US,1604609447
Bongandanga,1.5,21.05,68.94,99,100,1.48,CD,1604609895
Camaná,-16.62,-72.71,67.55,68,42,8.08,PE,1604609897
Krasnoarmeysk,51.02,45.7,39.99,88,3,7.58,RU,1604609899
Deputatsky,69.3,139.9,-8.88,92,98,1.74,RU,1604609670
Khonsa,27.02,95.57,59.67,83,45,2.53,IN,1604609901
Peterhead,57.51,-1.8,52.0,81,15,1.12,GB,1604609902
Itabaiana,-10.69,-37.43,80.6,78,20,14.99,BR,1604609903
Bodden Town,19.28,-81.25,80.6,83,90,9.17,KY,1604609904
Egvekinot,66.32,-179.17,31.26,100,100,9.93,RU,1604609905
Barra do Garças,-15.89,-52.26,95.0,39,40,3.96,BR,1604609907
Anchorage,61.22,-149.9,17.01,72,1,3.78,US,1604609710
Comodoro Rivadavia,-45.87,-67.5,75.2,25,40,20.8,AR,1604609909
Kavieng,-2.57,150.8,82.51,74,100,5.5,PG,1604609771
Henderson,36.04,-114.98,84.99,13,1,8.05,US,1604609686
Gayéri,12.65,0.49,84.09,22,47,7.31,BF,1604609912
Yerbogachën,61.28,108.01,11.41,94,100,11.97,RU,1604609346
Shelburne,44.08,-80.2,62.6,55,1,10.29,CA,1604609914
Hofn,64.25,-15.21,46.15,70,27,45.07,IS,1604609916
Joshīmath,30.57,79.57,44.35,48,0,3.36,IN,1604609917
Deep River,46.1,-77.5,68.0,49,1,6.93,CA,1604609704
Lashio,22.93,97.75,61.12,99,14,1.7,MM,1604609919
Muncar,-8.43,114.33,75.63,89,8,2.15,ID,1604609920
Mizdah,31.45,12.98,61.21,69,19,8.86,LY,1604609921
Kalabo,-14.97,22.68,72.14,67,85,3.31,ZM,1604609922
Tezu,27.92,96.17,65.28,53,1,3.4,IN,1604609582
Zdvinsk,54.7,78.66,34.99,92,96,5.82,RU,1604609926
Andenes,69.31,16.12,41.0,80,75,33.33,NO,1604609927
Sinnamary,5.38,-52.95,78.08,88,99,8.39,GF,1604609928
Taltal,-25.4,-70.48,65.91,53,22,5.21,CL,1604609929
Clyde River,70.47,-68.59,-2.2,64,1,16.11,CA,1604609931
Lohja,60.25,24.07,44.01,78,46,8.99,FI,1604609932
Kyabram,-36.32,145.05,51.01,65,67,10.04,AU,1604609933
Araceli,10.55,119.99,81.59,76,37,5.64,PH,1604609934
Laguna,38.42,-121.42,79.0,33,1,2.24,US,1604609935
Cabedelo,-6.98,-34.83,82.4,69,20,9.17,BR,1604609936
Porterville,36.07,-119.02,79.0,35,1,4.7,US,1604609937
Natal,-5.79,-35.21,82.4,74,40,11.41,BR,1604609898
Kutum,14.2,24.67,68.23,26,4,16.24,SD,1604609652
Demidov,55.27,31.52,45.12,83,100,14.83,RU,1604609942
Antofagasta,-23.65,-70.4,68.0,72,20,17.22,CL,1604609560
Mount Gambier,-37.83,140.77,48.2,87,90,6.93,AU,1604609832
Sobolevo,54.43,31.9,44.04,83,100,17.07,RU,1604609946
Tabou,4.42,-7.35,79.34,87,0,7.61,CI,1604609947
Ségou,13.43,-6.22,84.88,28,0,4.23,ML,1604609948
Maceió,-9.67,-35.74,80.6,78,0,14.99,BR,1604609949
Kloulklubed,7.04,134.26,77.0,94,90,10.13,PW,1604609950
Russell,32.35,-85.2,75.2,47,90,4.7,US,1604609951
Nelson Bay,-32.72,152.15,62.01,87,75,12.75,AU,1604609953
Pampierstad,-27.78,24.69,70.72,44,0,7.29,ZA,1604609954
Mill Valley,37.91,-122.55,78.01,56,0,8.01,US,1604609955
Mahabalipuram,12.63,80.17,80.6,100,40,4.56,IN,1604609779
Rocha,-34.48,-54.33,63.72,69,18,11.39,UY,1604609312
Montrose,38.42,-108.27,66.0,33,0,5.01,US,1604609958
Nanzhang,31.78,111.84,60.37,55,98,2.68,CN,1604609959
Labuhan,-6.88,112.21,79.25,82,100,6.87,ID,1604609961
Malindi,-3.22,40.12,78.46,82,9,12.35,KE,1604609962
Buraidah,26.33,43.98,69.8,26,0,4.7,SA,1604609797
Sombrerete,23.63,-103.65,67.6,24,52,14.23,MX,1604609964
Aban,56.67,96.06,22.37,95,100,16.58,RU,1604609965
Shitanjing,39.23,106.34,34.43,73,0,23.4,CN,1604609966
Saint-François,46.42,3.91,42.01,100,40,3.36,FR,1604609579
Kiryat Gat,31.61,34.76,64.4,88,75,8.05,IL,1604609834
Santa Rosa,14.31,121.11,79.0,94,75,2.24,PH,1604609970
Baijiantan,45.63,85.18,33.53,78,2,5.61,CN,1604609971
Province of Mantua,45.17,10.78,53.01,93,0,2.24,IT,1604609972
San Quintín,30.48,-115.95,79.41,39,66,10.36,MX,1604609800
Port Hedland,-20.32,118.57,75.2,69,0,10.29,AU,1604609950
Ferkessédougou,9.6,-5.2,82.29,48,91,3.96,CI,1604609976
Dicabisagan,17.08,122.42,74.89,82,82,4.32,PH,1604609977
Pacific Grove,36.62,-121.92,82.4,30,1,8.05,US,1604609477
Fort Nelson,58.81,-122.7,8.6,78,90,12.75,CA,1604609980
Canandaigua,42.87,-77.29,68.0,30,1,11.41,US,1604609981
Sinfra,6.62,-5.92,73.31,96,85,3.06,CI,1604609982
Rechka Vydrino,51.48,104.85,31.8,87,100,7.85,RU,1604609983
Roald,62.58,6.13,51.8,93,75,28.86,NO,1604609986
Karratha,-20.74,116.85,73.83,44,0,10.42,AU,1604609314
Ketchikan,55.34,-131.65,42.8,93,90,11.41,US,1604609771
Mehamn,71.04,27.85,41.0,86,40,11.41,NO,1604609989
Biak,-0.91,122.88,77.72,76,64,1.81,ID,1604609990
Turaif,31.67,38.66,59.0,82,0,6.93,SA,1604609992
Vestmanna,62.16,-7.17,48.2,100,100,18.34,FO,1604609993
Malakal,9.53,31.66,79.56,64,2,3.02,SS,1604609994
Gampaha,7.09,79.99,77.0,88,20,4.7,LK,1604609996
Tignère,7.37,12.65,68.41,52,100,0.22,CM,1604609997
Klaksvík,62.23,-6.59,48.2,100,100,18.34,FO,1604609772
Anáhuac,27.23,-100.15,82.4,45,40,6.93,MX,1604609999
San Carlos,9.66,-68.58,80.76,85,54,1.45,VE,1604610000
Pompéia,-22.11,-50.17,78.49,40,59,2.17,BR,1604610002
Dobrinka,52.17,40.47,43.79,89,89,10.13,RU,1604610004
Nhulunbuy,-12.23,136.77,78.8,83,0,3.36,AU,1604609559
Naters,46.33,7.99,53.01,47,3,3.0,CH,1604610006
Amarante do Maranhão,-5.57,-46.74,85.12,57,91,2.91,BR,1604610008
Sola,-13.88,167.55,81.75,82,93,13.0,VU,1604610010
Bathsheba,13.22,-59.52,86.0,70,40,19.46,BB,1604609518
Marsabit,2.33,37.99,68.32,82,84,15.39,KE,1604610012
Mehrān,33.12,46.16,62.6,25,40,2.24,IR,1604610013
Beloha,-25.17,45.05,66.7,90,100,4.05,MG,1604610015
Kasongo-Lunda,-6.47,16.82,73.29,90,100,1.95,CD,1604610016
Guhāgar,17.48,73.19,73.67,59,0,6.29,IN,1604610017
Eston,51.15,-108.75,60.01,61,75,24.16,CA,1604610018
Afikpo,5.89,7.94,78.46,79,99,5.12,NG,1604610020
Puerto del Rosario,28.5,-13.86,68.0,77,20,4.7,ES,1604610021
Queanbeyan,-35.35,149.23,48.99,76,0,6.93,AU,1604610022
Sechura,-5.56,-80.82,73.42,54,4,19.22,PE,1604610023
Balyqshy,47.07,51.87,46.4,45,0,17.9,KZ,1604610025
Nouakchott,18.09,-15.98,75.2,78,0,4.7,MR,1604610026
Lyaskelya,61.77,31.02,42.13,69,23,13.18,RU,1604610028
Kirkuk,35.47,44.39,66.99,49,99,11.81,IQ,1604610029
Carpinteria,34.4,-119.52,90.0,16,99,3.0,US,1604609772
Uzhur,55.3,89.83,32.04,97,98,20.27,RU,1604610031
Balkhash,46.84,74.98,37.18,66,28,7.78,KZ,1604609779
Fonte Boa,-2.5,-66.27,87.91,64,90,1.81,BR,1604610034
Acapulco de Juárez,16.86,-99.89,87.8,66,40,11.41,MX,1604609521
Nouadhibou,20.93,-17.03,68.0,88,29,13.87,MR,1604610036
Rincon,32.3,-81.24,78.8,54,75,14.99,US,1604610037
Yingkou,40.66,122.23,55.36,82,100,18.54,CN,1604610038
Lagoa,39.05,-27.98,60.22,68,18,19.1,PT,1604610040
Iquique,-20.22,-70.14,66.2,63,0,17.22,CL,1604609923
Bima,-8.47,118.72,76.87,84,13,3.38,ID,1604610043
Saint-Joseph,-21.37,55.62,69.01,72,22,5.82,RE,1604609594
Tomatlán,19.93,-105.25,87.08,57,10,5.79,MX,1604610045
Acajutla,13.59,-89.83,73.4,100,75,2.55,SV,1604610048
Tsimmerbude,54.67,20.13,51.8,93,75,20.13,RU,1604610049
Nokaneng,-19.67,22.27,79.97,45,51,11.52,BW,1604610050
Kinna,57.51,12.69,54.0,87,90,14.99,SE,1604610052
İskenderun,36.59,36.17,66.99,100,75,3.36,TR,1604610053
Jasper,37.2,-94.35,75.0,46,1,5.82,US,1604610054
Qasigiannguit,68.82,-51.19,17.6,67,75,14.99,GL,1604610056
Novyy Buyan,53.69,50.05,32.0,90,90,4.47,RU,1604610057
Cayenne,4.93,-52.33,77.0,100,97,5.82,GF,1604609932
Sault Ste. Marie,46.52,-84.33,62.6,41,1,12.75,CA,1604610005
Mayo,38.89,-76.51,66.99,55,1,10.29,US,1604610062
